Artist 1/948 | Stage Name: Yuto Adachi | Full Name: Yuto Adachi | Gender: Male | Birth Year: 1998-01-23 | Age: 28 | Birth Place: Nagano, Nagano Prefecture, Japan | Nationality: Japanese | Occupation(s): Rapper, singer, dancer | Years Active: 2016–present | Group: Pentagon | Genre: K-pop, electronic, dance-pop | 
Artist 2/948 | Stage Name: Danny Ahn | Full Name: Danny Ahn | Gender: Male | Birth Year: 1978-12-22 | Age: 47 | Birth Place: Seattle, Washington, U.S. | Nationality: Korean | Occupation(s): Actor, singer, rapper, radio DJ, host | Years Active: 1999–present | Group: g.o.d | Genre: K-pop, R&B | 
Artist 3/948 | Stage Name: Tony An | Full Name: Ahn Seung-ho | Gender: Unknown | Birth Year: 1978-06-07 | Age: 47 | Birth Place: Ichon-dong, Yongsan District, Seoul, South Korea | Nationality: Korean | Occupation(s): Singer, songwriter, businessman | Years Active: 1996–present | Group: H.O.T. | Genre: K-pop, dance, hip hop | 
Artist 4/948 | Stage Name: Ajoo | Full Name: Ajoo | Gender: Unknown | Birth Year: 1990-07-06 | Age: 35 | Birth Place: Unknown | Nationality: Korean | Occupation(s): Singer, dancer, actor | Years Active: 2007–2010 | Group: None | Genre: K-pop | 
Artist 5/948 | Stage Name: Aoora | Full Name: Park Min-jun | Gender: Male | Birth Year: 1986-01-10 | Age: 40 | Birth Place: Seoul, South Korea | Nationality: Korean | Occupation(s): Rapper, singer, songwriter, music producer | Years Active: 2001–present | Group: None | Genre: K-pop | 
Artist 6/948 | Stage Name: Aron (singer) | Full Name: Aaron Kwak | Gender: Male | Birth Year: 1993-05-21 | Age: 32 | Birth Place: Los Angeles, California, United States | Nationality: Korean | Occupation(s): Singer, rapper, media personality | Years Active: 2012–present | Group: None | Genre: K-pop | 
Artist 7/948 | Stage Name: B-Bomb | Full Name: Lee Min Hyuk | Gender: Male | Birth Year: 1990-12-14 | Age: 35 | Birth Place: Seoul, South Korea | Nationality: Korean | Occupation(s): Singer, dancer, actor | Years Active: 2011–present | Group: Block B | Genre: K-pop, hip hop | 
Artist 8/948 | Stage Name: B.I (rapper) | Full Name: Kim Han-bin | Gender: Male | Birth Year: 1996-10-22 | Age: 29 | Birth Place: Cheonan, South Korea | Nationality: Korean | Occupation(s): Rapper, singer, songwriter, record producer, executive producer | Years Active: 2009 2013–present | Group: iKon | Genre: K-pop, hip hop | 
Artist 9/948 | Stage Name: Babylon (singer) | Full Name: Lee Jong-min | Gender: Male | Birth Year: 1988 | Age: 38 | Birth Place: South Korea | Nationality: Korean | Occupation(s): Singer-songwriter, rapper, dancer | Years Active: 2011–present | Group: None | Genre: R&B, K-pop | 
Artist 10/948 | Stage Name: Bae Jin-young | Full Name: Bae Jin-young | Gender: Male | Birth Year: 2000-05-10 | Age: 25 | Birth Place: Seoul, South Korea | Nationality: Korean | Occupation(s): Singer, actor | Years Active: 2017–present | Group: CIX | Genre: K-pop, electro hop, R&B | 
Artist 11/948 | Stage Name: Bae Ki-sung | Full Name: Bae Ki-sung | Gender: Male | Birth Year: 1972-03-13 | Age: 53 | Birth Place: Busan, South Korea | Nationality: Korean | Occupation(s): Singer, radio presenter | Years Active: 1993–present | Group: Can | Genre: Hard rock, K-rock, pop rock, electropop, dance pop, K-pop | 
