Artist 1/50 | Stage Name: Harisu | Full Name: Lee Kyung-eun | Gender: Female | Birth Year: 1975-02-17 | Age: 51 | Birth Place: Seongnam, South Korea | Nationality: Korean | Occupation(s): Not found | Years Active: Not found | Current Group: None | Genre: K-pop | 
Artist 2/50 | Stage Name: Kim Jin-woo (musician) | Full Name: Kim Jin-woo | Gender: Unknown | Birth Year: 1991-09-26 | Age: 34 | Birth Place: Imja Island, Sinan County, South Jeolla, South Korea | Nationality: Korean | Occupation(s): Singer, actor | Years Active: 2014–present | Current Group: Winner | Genre: K-pop, R&B, Hip-hop | 
Artist 3/50 | Stage Name: Ryu Su-jeong | Full Name: Ryu Su-jeong | Gender: Female | Birth Year: 1997-11-19 | Age: 28 | Birth Place: Daejeon, South Korea | Nationality: Korean | Occupation(s):  | Years Active: 2014–present | Current Group: None | Genre: K-pop | 
Artist 4/50 | Stage Name: Yunho | Full Name: Jung Yunho | Gender: Male | Birth Year: 1986-02-06 | Age: 40 | Birth Place: Gwangsan, Gwangju, South Korea | Nationality: Korean | Occupation(s): Singer-songwriter, dancer, actor | Years Active: 2003–present | Current Group: TVXQ | Genre: K-pop, pop, dance, R&B, electronic, rock | 
Artist 5/50 | Stage Name: Park Jae-chan | Full Name: Park Jae-chan | Gender: Male | Birth Year: 2001-12-06 | Age: 24 | Birth Place: Daegu, North Gyeongsang Province, South Korea | Nationality: Korean | Occupation(s): Singer, actor, songwriter | Years Active: 2019–present | Current Group: None | Genre: K-pop | 
Artist 6/50 | Stage Name: Jung Ha-na | Full Name: Jung Ha-na | Gender: Female | Birth Year: 1990-02-02 | Age: 36 | Birth Place: Uijeongbu, Gyeonggi, South Korea | Nationality: Korean | Occupation(s): Singer, television personality, Youtuber | Years Active: 2008–2016 2023–present | Current Group: None | Genre: K-pop, dance-pop | 
Artist 7/50 | Stage Name: Choi Ye-na | Full Name: Choi Ye-na | Gender: Female | Birth Year: 1999-09-29 | Age: 26 | Birth Place: Seoul, South Korea | Nationality: Korean | Occupation(s): Singer, actress | Years Active: 2018–present | Current Group: None | Genre: K-pop | 
Artist 8/50 | Stage Name: Hyun Jin-young | Full Name: Heo Hyeon-seok | Gender: Male | Birth Year: 1971-02-03 | Age: 55 | Birth Place: Seoul, South Korea | Nationality: Korean | Occupation(s): Singer, dancer | Years Active: 1990–present | Current Group: None | Genre: K-pop | 
Artist 9/50 | Stage Name: Kidoh | Full Name: Jin Hyo-sang | Gender: Male | Birth Year: 1992-12-16 | Age: 33 | Birth Place: Seoul, South Korea | Nationality: Korean | Occupation(s): Singer, songwriter, dancer, rapper, record producer | Years Active: 2013–present | Current Group: None | Genre: K-pop, hip hop | 
Artist 10/50 | Stage Name: Kim Min-ju | Full Name: Kim Min-ju | Gender: Female | Birth Year: 2001-02-05 | Age: 25 | Birth Place: Seoul, South Korea | Nationality: Korean | Occupation(s): Actress, singer | Years Active: 2018–present | Current Group: None | Genre: K-pop | 
Artist 11/50 | Stage Name: Lee Hong-gi | Full Name: Lee Hong-gi | Gender: Male | Birth Year: 1990-03-02 | Age: 35 | Birth Place: Bundang District, Seongnam, South Korea | Nationality: Korean | Occupation(s): Singer, television personality, actor | Years Active: 2002–present | Current Group: F.T. Island | Genre: K-rock, pop rock | 
Artist 12/50 | Stage Name: An Yu-jin | Full Name: An Yu-jin | Gender: Female | Birth Year: 2003-09-01 | Age: 22 | Birth Place: Cheongju, South Korea | Nationality: Korean | Occupation(s): Singer | Years Active: 2018–present | Current Group: Ive | Genre: K-pop, pop, bubblegum pop, electronic, EDM | 
Artist 13/50 | Stage Name: Kang Ye-won | Full Name: Kim Ji-eun | Gender: Female | Birth Year: 1979-03-15 | Age: 46 | Birth Place: Daegu, South Korea | Nationality: Korean | Occupation(s):  | Years Active: 2000–present | Current Group: None | Genre: K-pop | 
